CODBAIRRO,BAIRRO,CODRA,CODRA_TXT,RA,CODRP,CODAP,SHAPESTArea,SHAPESTLength,OBJECTID
42,Olaria,10,X,Ramos,3.1,3,3689843.13183594,12231.0098502716,201
74,Vila da Penha,14,XIV,Irajá,3.3,3,1435719.62060547,6100.17060323899,202
157,Maré,30,XXX,Maré,3.1,3,4268772.7890625,13082.6399759903,203
135,Vila Militar,33,XXXIII,Realengo,5.1,5,10756738.2875977,18077.0233166139,204
105,Cidade Universitária,20,XX,Ilha do Governador,3.7,3,4690719.10009766,22376.2518002034,205
86,Rocha Miranda,15,XV,Madureira,3.3,3,2886713.32421875,9166.73602692359,206
41,Ramos,10,X,Ramos,3.1,3,2793540.48583984,8911.70512528436,207
139,Realengo,33,XXXIII,Realengo,5.1,5,26054267.784668,30896.8665486385,208
72,Vila Kosmos,14,XIV,Irajá,3.3,3,1519258.19189453,6511.86648591617,209
90,Marechal Hermes,15,XV,Madureira,3.3,3,3886236.03027344,11946.9848981536,210
73,Vicente de Carvalho,14,XIV,Irajá,3.3,3,1835715.60839844,6753.01662949415,211
148,Paciência,19,XIX,Santa Cruz,5.3,5,27418044.2578125,34307.6120752022,212
55,Engenho da Rainha,12,XII,Inhaúma,3.4,3,2225650.88476562,9188.82229165999,213
156,Complexo do Alemão,29,XXIX,Complexo do Alemão,3.4,3,2960863.1171875,11998.4524295239,214
84,Vaz Lobo,15,XV,Madureira,3.3,3,1101223.88916016,5030.57386964461,215
140,Padre Miguel,17,XVII,Bangu,5.1,5,4865804.95703125,16274.2099890564,216
89,Bento Ribeiro,15,XV,Madureira,3.3,3,3037854.79736328,8506.04758405875,217
85,Turiaçu,15,XV,Madureira,3.3,3,1255812.97216797,5378.20031174226,218
40,Bonsucesso,10,X,Ramos,3.1,3,2199722.08984375,8559.0061231636,219
54,Inhaúma,12,XII,Inhaúma,3.4,3,3485283.69189453,13164.8134394557,220
56,Tomás Coelho,12,XII,Inhaúma,3.4,3,1747531.22998047,8403.84922827506,221
143,Santíssimo,18,XVIII,Campo Grande,5.2,5,8319636.31445312,15804.0405267801,222
83,Madureira,15,XV,Madureira,3.3,3,3787623.52636719,9574.37520005384,223
88,Oswaldo Cruz,15,XV,Madureira,3.3,3,2071132.35351562,6942.74866587448,224
149,Santa Cruz,19,XIX,Santa Cruz,5.3,5,125044629.041504,65717.4790345474,225
138,Magalhães Bastos,33,XXXIII,Realengo,5.1,5,1975954.60693359,6902.66378984423,226
